Smiles,pIC50
CC(=O)Nc1nc(-c2ccccc2)nc2nc(-c3ccccc3)cn12,5.5
CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,5.9
Nc1cccc2c1nc(NC(=O)c1ccccc1)c1nn(-c3ccccc3)c(=O)n12,5.31
Cc1ccc2c(O)c(Cc3ccccc3)cnc2n1,5.48
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O,6.4
CONc1nc(C#CCCCC#N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.74
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O,6.4
Cc1ccc2c(O)cc(-c3ccccc3)nc2n1,6.26
Cc1ccc(Nc2nc(N)nc(CN3C(=O)NC4(CCCCC4)C3=O)n2)cc1,5.55
COc1ccc(Nc2c(-c3ccc4nccnc4c3)c(C)nn2-c2ccccc2)c(C(=O)O)c1,5.26
Oc1cc(-c2ccccc2)nc2nc(Oc3ccccc3)ccc12,5.72
CCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,5.98
S/C(Cc1ccccc1)=N\N=C\c1cnc2ccccc2c1,5.7
Cc1[nH]c2nc(-c3ccccc3)nc(NCc3ccncc3)c2c1C,6.09
CCCn1c(=O)n(CC)c(=O)c2c1ncn2C,5.12
COc1ccc(NC(=O)Nc2nc3nn(CCc4c(Br)cc(Br)cc4Br)cc3c3nc(-c4ccco4)nn23)cc1,5.69
OC1CS[C@@H](n2cnc3c(NCc4cccc(Cl)c4)ncnc32)[C@H]1O,6.36
Nc1nc(-c2cnn(CCC3CCCCC3)c2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.46
