Smiles,pIC50
Oc1cc(-c2ccccc2)nc2ncccc12,5.7
O=C(CC1CCCN1)Nc1ccc(C(=O)Nc2nccs2)cc1,5.18
O=c1[nH]c(=O)c2nc3ccccc3nc2[nH]1,6.03
O=C(Nc1nc(-c2ccccc2)n[nH]1)c1ccccc1,6.4
OC(c1ccccc1)c1cc(C(F)(F)F)nc2ccccc12,5.02
COc1cc(C(=O)NCc2ccccn2)nc(N)n1,5.48
O=C(COc1ccccc1)Nc1nc(-c2ccccc2)n[nH]1,5.75
Cc1cn2c(N)nc(-c3ccccc3)nc2n1,6.17
CCC(=O)Nc1nc(-c2ccsc2)cc(-c2ccsc2)n1,5.72
O=C(CCc1ccccc1)Nc1nc(-c2ccccc2)n[nH]1,5.47
O=C(COCc1ccccc1)Nc1nc(-c2ccccc2)n[nH]1,5.3
Nc1nc(-c2ccccc2)cc(-c2ccc3c(c2)OCO3)n1,6.42
Cc1ccc2c(S)c(Cc3ccccc3)cnc2n1,5.04
Cc1cc(C)nc(NC(=N)NCCc2c[nH]c3ccccc23)n1,6.4
CCCC(=O)Nc1nc(-c2ccsc2)cc(-c2ccsc2)n1,5.34
Cc1ccc(Nc2nc(N)nc(CSC(C)C(=O)NCc3ccccc3Cl)n2)cc1,5.22
Cc1ccc2c(O)c(Cc3ccccc3)cnc2n1,5.48
Nc1nn(-c2ccccc2)nc1C(=O)CCc1ccccc1,5.7
COc1cccc2nc(NC(=O)c3ccccc3)[nH]c12,6.28
O=C(Nc1nc(-c2ccccc2)n[nH]1)c1ccc(Cl)cc1,5.55
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,5.01
O=c1oc2c(O)cccc2cc1-c1ccsc1,5.01
CCC(=O)Nc1nc(-c2ccccc2F)cc(-c2ccccc2F)n1,6.37
CSc1cccc2[nH]c(-c3cnc4ccccc4n3)nc12,5.52
O=C(COc1ccccc1)Nc1nc(-c2ccc(F)cc2)n[nH]1,5.46
C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,5.22
C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,5.47
Cc1ccc(-c2n[nH]c(NC(=O)COc3ccccc3)n2)cc1,5.44
C[C@@H](Sc1ccccc1)C(=O)Nc1nc(-c2ccccc2)n[nH]1,5.66
Nc1ccc2oc(-c3ccco3)nc2c1,5.0
Nc1ccc2oc(-c3ccco3)nc2c1,5.0
CCCC(=O)Nc1nc(-c2ccccc2F)cc(-c2ccccc2F)n1,6.19
Cc1cccc(OCC(=O)Nc2nc(-c3ccccc3)n[nH]2)c1,5.7
Nc1nnc(-c2cccc(Cl)c2)c(-c2ccccc2)n1,6.4
CCOC(=O)c1nc[nH]c1/N=N/c1c(O)ccc2ccccc12,5.9
Nc1cc(C(=O)NCc2cccc3cccnc23)c2ccccc2n1,6.08
CCSc1cccc2[nH]c(-c3cnc4ccccc4n3)nc12,5.46
CCSc1cccc2[nH]c(-c3cnc4ccccc4n3)nc12,5.46
O=C(Nc1nc(-c2ccccc2)n[nH]1)C1CCCO1,5.23
COc1ccc(CC(=O)Nc2nc(-c3ccccc3)n[nH]2)cc1,6.0
COc1cccc(-c2n[nH]c(CCc3ccc(Cl)c(Cl)c3)n2)c1,6.0
C[C@@H](Oc1ccccc1)C(=O)Nc1nc(-c2ccccc2)n[nH]1,6.0
Cc1cc(C)cc(OCC(=O)Nc2nc(-c3ccccc3)n[nH]2)c1,5.5
COc1cc(C(=O)NCc2ncccc2C)nc(N)n1,5.61
CCn1cnc2c(N)ncnc21,5.66
CCn1cnc2c(N)ncnc21,5.66
Nc1nc(-c2ccccc2)nc2sccc12,6.3
Cc1ccccc1OCC(=O)Nc1nc(-c2ccccc2)n[nH]1,5.77
O=C(NCc1ccccc1)c1cnc2ncccc2c1O,5.93
Nc1c(Oc2ccccc2)ccc2c1C(=O)c1ccccc1C2=O,6.0
Cc1ccc2c(NN)c(Cc3ccccc3)cnc2n1,6.14
Nc1ncnc2cn(-c3ccccc3)nc12,6.39
CC(C)n1cc2c(Cl)nc(N)nc2n1,5.48
Oc1cc(-c2ccccc2)nc2nc(F)ccc12,5.57
Cc1ccc2c(O)c(Cc3ccccc3Cl)cnc2n1,6.01
Clc1ncnc2sc(Nc3ccccc3)nc12,5.82
CCCSc1nc(NC(C)=O)cc(OCc2ccccc2Cl)n1,5.38
COC(=O)Nc1nc2ccc(C(=O)c3cccs3)cc2[nH]1,5.12
COC(=O)Nc1nc2ccc(C(=O)c3cccs3)cc2[nH]1,5.38
Oc1cc(-c2ccccc2)nc2nc(Cl)ccc12,6.35
O=C(c1ccc(F)cc1)c1c[nH]c(C(=O)NCCCn2ccnc2)c1,5.33
Cc1cccc(C)c1OCC(=O)Nc1nc(-c2ccccc2)n[nH]1,5.77
Cc1ccc(O[C@H](C)C(=O)Nc2nc(-c3ccccc3)n[nH]2)cc1,5.19
Cc1ccc(N2C(=O)c3cccc(N)c3C2=O)cc1,5.54
CC(C)n1cnc2c(N)ncnc21,5.39
C[C@@H](Oc1ccc(Cl)cc1)C(=O)Nc1nc(-c2ccccc2)n[nH]1,5.4
CC(C)(C)Cn1cc2c(Cl)nc(N)nc2n1,5.39
CC(=O)Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,6.31
Nc1ccc2c(O)cc(-c3ccccc3)nc2n1,5.05
Nc1ccc2c(O)cc(-c3ccccc3)nc2n1,5.23
Nc1ccc2c(O)cc(-c3ccccc3)nc2n1,5.23
Cc1ccc2c(S)cc(-c3ccccc3)nc2n1,5.9
Cc1ccc2c(S)cc(-c3ccccc3)nc2n1,5.9
Nc1nn(-c2ccccc2Cl)nc1C(=O)CCc1ccccc1,6.2
